 aqi, level, so2, no2, pm10, pm2_5, o3, co
80,2,8,43,73,46,136,0.6
81,2,6,19,27,14,137,0.9
89,2,7,20,83,52,146,0.8
60,2,5,19,24,6,112,0.3
117,3,10,49,100,88,56,1.1
137,3,16,89,112,104,26,1.6
67,2,5,19,37,22,120,0.7
66,2,10,26,56,30,119,0.6
49,1,5,16,35,20,97,0.6
70,2,6,20,39,19,123,0.6
103,3,10,53,103,77,25,1.7
113,3,9,28,50,26,174,0.8
37,1,4,12,7,6,74,0.7
94,2,6,20,61,34,152,1
45,1,8,30,44,31,46,0.6
32,1,7,19,31,22,53,0.5
39,1,8,28,38,27,58,0.7
42,1,8,33,40,28,56,0.7
47,1,8,37,44,29,75,0.7
28,1,6,22,21,16,36,0.6
33,1,8,26,27,18,36,0.6
32,1,7,25,28,17,36,0.6
33,1,7,26,32,20,50,0.6
45,1,8,36,43,27,25,0.8
43,1,8,34,42,28,41,0.8
39,1,8,31,32,22,42,0.7
48,1,9,38,41,26,32,0.7
48,1,8,38,39,24,22,0.7
47,1,9,37,46,27,63,0.8
34,1,8,27,30,17,53,0.8
40,1,9,32,38,21,40,0.9
33,1,7,26,32,20,28,0.8
42,1,7,24,42,21,44,0.5
39,1,9,29,39,24,55,0.7
32,1,7,25,30,20,42,0.7
35,1,9,28,30,17,50,0.7
47,1,10,37,39,24,32,0.8
43,1,8,34,34,23,44,0.8
43,1,8,32,43,28,66,0.8
37,1,11,29,30,16,60,0.6
40,1,9,32,37,23,53,0.6
40,1,9,32,40,26,53,0.6
49,1,9,37,49,32,60,0.7
46,1,8,31,46,31,45,0.7
45,1,8,31,45,29,42,0.7
41,1,8,32,41,25,42,0.7
48,1,8,32,48,25,44,0.6
42,1,7,32,42,26,41,0.7
49,1,9,33,49,28,92,0.8
28,1,7,22,28,18,46,0.7
28,1,7,22,21,13,48,0.6
39,1,7,26,24,15,78,0.6
50,1,8,20,29,21,99,0.6
42,1,8,30,42,26,43,0.6
48,1,9,33,48,30,95,0.7
48,1,10,32,45,29,96,0.6
44,1,8,27,44,30,58,0.6
39,1,9,31,39,27,53,0.7
47,1,8,23,32,21,93,0.7
30,1,7,19,29,19,60,0.5
48,1,8,22,25,14,96,0.5
44,1,10,35,40,21,75,0.6
48,1,8,32,44,28,95,0.6
33,1,7,24,33,20,45,0.6
38,1,7,30,32,19,45,0.5
43,1,9,34,43,27,27,0.7
34,1,7,27,31,21,52,0.6
50,1,8,40,42,26,59,0.7
50,1,10,40,47,27,90,0.7
38,1,7,27,38,23,76,0.6
40,1,7,27,39,28,60,0.5
47,1,9,28,41,26,93,0.6
49,1,9,20,30,17,98,0.5
30,1,8,19,30,16,47,0.5
23,1,7,18,23,14,43,0.5
34,1,9,25,31,18,68,0.6
43,1,9,28,37,22,86,0.6
44,1,10,33,44,26,86,0.7
47,1,8,25,47,32,75,0.7
46,1,8,24,37,24,92,0.7
33,1,7,26,29,20,56,0.7
39,1,7,31,38,25,75,0.8
32,1,7,23,26,16,64,0.7
33,1,8,22,27,17,66,0.6
34,1,7,21,24,16,68,0.7
42,1,8,24,26,15,83,0.7
47,1,10,28,40,25,93,0.7
28,1,7,22,24,15,52,0.6
31,1,8,23,31,18,50,0.6
45,1,8,20,27,15,90,0.6
31,1,7,21,28,17,61,0.6
32,1,7,22,22,13,63,0.5
50,1,8,23,32,17,100,0.5
46,1,8,27,46,30,75,0.7
38,1,7,23,38,26,45,0.7
39,1,7,19,22,13,77,0.6
47,1,8,22,26,16,93,0.6
30,1,7,19,26,16,59,0.6
27,1,7,16,17,11,54,0.6
34,1,6,17,18,9,68,0.6
46,1,8,22,24,12,91,0.7
46,1,8,19,21,11,91,0.6
42,1,9,21,23,12,84,0.6
39,1,8,22,25,14,77,0.6
41,1,8,22,41,23,65,0.6
36,1,7,19,24,14,71,0.5
36,1,7,21,31,17,72,0.6
29,1,6,17,15,10,58,0.5
29,1,6,23,16,10,57,0.6
28,1,7,22,16,9,40,0.6
30,1,7,24,19,11,45,0.6
49,1,8,23,26,14,98,0.7
48,1,8,22,35,19,96,0.7
45,1,8,24,37,21,89,0.6
38,1,9,25,38,21,69,0.6
30,1,8,18,21,12,59,0.6
43,1,9,34,34,17,81,0.7
39,1,8,24,25,15,78,0.7
33,1,9,24,33,21,48,0.7
33,1,8,21,24,14,65,0.6
29,1,8,23,26,15,48,0.7
42,1,7,20,18,11,84,0.6
47,1,9,22,35,20,94,0.5
47,1,9,22,30,15,93,0.5
41,1,8,19,35,21,82,0.6
33,1,8,22,33,21,63,0.6
80,2,10,42,80,59,27,0.9
82,2,11,39,81,60,16,0.9
95,2,11,40,95,71,13,0.9
90,2,10,38,91,67,24,0.8
74,2,8,30,68,54,47,0.7
63,2,8,37,63,45,35,0.7
90,2,10,42,89,67,19,0.8
77,2,9,39,79,56,52,0.7
69,2,11,47,85,50,59,0.7
80,2,13,60,106,59,56,0.8
53,2,9,42,56,37,36,0.7
85,2,9,52,95,63,33,0.9
98,2,9,43,96,73,23,0.9
54,2,8,39,50,38,40,1
64,2,8,43,67,46,15,1.1
64,2,8,41,62,46,18,1
60,2,9,44,63,43,43,1.1
67,2,9,49,76,48,28,0.9
93,2,11,48,105,69,44,0.9
88,2,8,38,88,65,54,0.9
95,2,9,43,92,71,67,1
99,2,9,44,96,74,42,1
70,2,9,37,68,51,58,0.9
73,2,9,37,69,53,87,0.9
69,2,9,31,65,50,80,0.7
90,2,10,31,84,67,45,0.7
88,2,9,22,85,65,87,0.7
55,2,8,21,49,39,49,0.6
54,2,9,43,55,37,83,0.8
67,2,10,48,70,48,104,0.9
84,2,11,52,88,62,116,1
85,2,10,48,89,63,89,0.9
60,2,9,32,65,43,102,0.8
53,2,7,26,51,37,58,0.7
51,2,9,38,52,32,65,0.9
69,2,11,45,79,50,60,0.9
75,2,9,46,78,55,24,1
53,2,8,34,51,37,27,0.8
53,2,9,42,49,29,61,0.8
57,2,10,45,60,35,106,0.9
56,2,9,41,61,36,69,0.8
55,2,9,38,60,38,88,0.9
53,2,9,42,56,37,42,1
57,2,7,24,63,26,45,0.6
60,2,8,28,69,29,44,0.5
61,2,10,39,72,34,74,0.7
62,2,9,39,74,33,98,0.7
75,2,16,57,100,46,41,0.9
69,2,9,37,76,50,32,0.8
59,2,9,38,67,36,99,0.7
60,2,10,44,68,31,112,0.8
69,2,14,52,88,41,114,1
58,2,11,41,65,36,78,0.8
54,2,10,39,57,35,49,0.8
56,2,8,34,61,33,20,0.8
54,2,7,28,58,28,51,0.6
51,2,8,36,52,31,70,0.8
51,2,12,37,51,30,60,0.8
56,2,9,34,41,23,107,0.7
52,2,10,33,54,29,63,0.6
69,2,10,33,55,28,122,0.6
97,2,11,42,62,34,156,0.7
86,2,10,28,54,32,143,0.7
59,2,9,26,67,33,81,0.6
56,2,7,23,62,32,61,0.5
88,2,9,36,64,38,145,0.8
90,2,10,38,62,36,148,0.8
55,2,9,28,47,32,106,0.7
60,2,9,31,43,26,111,0.6
64,2,12,47,69,46,71,0.8
69,2,10,42,73,50,42,0.9
55,2,8,34,55,39,32,0.7
51,2,9,35,51,34,70,0.7
53,2,10,39,56,35,64,0.8
74,2,10,44,65,40,128,0.8
58,2,10,45,65,40,98,0.8
63,2,9,42,68,45,79,0.7
72,2,11,33,43,21,126,0.5
94,2,12,49,58,27,152,0.7
65,2,14,29,54,36,117,0.6
57,2,10,32,42,26,108,0.7
66,2,9,25,28,16,119,0.7
52,2,9,22,30,17,102,0.6
63,2,9,22,39,25,115,0.6
55,2,9,25,35,20,106,0.6
89,2,10,33,49,29,146,0.7
91,2,11,35,45,25,149,0.7
53,2,11,35,56,36,96,0.7
56,2,8,21,26,15,107,0.6
65,2,7,19,22,13,118,0.6
80,2,8,25,43,28,135,0.7
55,2,7,19,20,12,106,0.6
100,2,8,23,29,17,160,0.6
55,2,8,24,35,20,105,0.6
55,2,8,23,35,19,105,0.6
56,2,7,21,23,13,107,0.6
58,2,8,23,31,17,109,0.6
66,2,8,21,22,13,119,0.6
66,2,8,26,29,16,119,0.6
63,2,8,29,32,17,115,0.6
70,2,9,25,33,17,123,0.6
65,2,8,23,29,14,118,0.5
75,2,8,21,26,14,130,0.5
90,2,8,24,34,16,147,0.6
61,2,9,20,29,15,113,0.5
76,2,9,26,36,19,131,0.6
98,2,9,26,43,24,157,0.6
57,2,7,20,24,15,108,0.6
55,2,9,22,30,16,105,0.6
74,2,9,23,39,22,128,0.6
75,2,9,23,45,27,129,0.7
59,2,8,24,33,19,110,0.7
57,2,8,22,38,21,108,0.7
77,2,9,23,44,26,132,0.7
60,2,9,18,29,16,111,0.6
57,2,9,24,26,14,108,0.7
55,2,9,27,30,16,105,0.8
87,2,11,37,46,25,144,0.8
52,2,12,32,54,33,101,0.9
78,2,11,28,40,22,133,0.7
64,2,11,27,44,26,116,0.7
65,2,10,25,44,26,118,0.7
72,2,10,29,32,16,126,0.7
80,2,9,29,36,19,135,0.7
80,2,9,31,42,22,135,0.7
54,2,9,26,40,22,104,0.6
55,2,10,21,33,17,105,0.5
73,2,9,29,34,19,127,0.7
98,2,10,34,44,25,157,0.7
103,3,13,42,103,77,27,0.9
108,3,13,47,112,81,15,1
103,3,10,42,99,77,23,0.8
103,3,14,67,125,77,68,1
132,3,16,73,152,100,62,1
148,3,13,67,158,113,28,1.1
120,3,14,59,131,91,19,1
119,3,10,57,119,90,16,1
109,3,10,50,111,82,45,0.9
103,3,9,44,103,77,43,0.9
112,3,11,48,119,84,30,0.9
112,3,9,45,115,84,66,0.9
107,3,10,52,109,80,27,1
113,3,10,48,117,85,20,1.1
122,3,10,48,123,92,22,1.1
108,3,8,38,107,81,42,0.9
103,3,12,24,95,77,94,0.7
133,3,13,45,71,41,196,0.8
103,3,12,44,61,32,163,0.8
112,3,17,37,78,48,173,0.8
104,3,9,28,40,21,164,0.7
131,3,10,32,46,23,194,0.7
140,3,11,30,51,27,204,0.7
150,3,11,32,55,31,215,0.8
116,3,10,29,47,26,177,0.7
115,3,10,25,41,22,176,0.6
124,3,10,21,42,25,186,0.6
