 aqi, level, so2, no2, pm10, pm2_5, o3, co
22,1,10,17,21,12,25,0.6
51,2,15,24,52,34,47,0.9
138,3,6,51,120,105,74,1.2
23,1,8,11,19,12,46,0.5
28,1,5,10,28,12,56,0.4
131,3,10,32,46,23,194,0.7
32,1,6,24,32,17,30,0.6
25,1,5,12,24,7,49,0.4
20,1,5,13,19,7,40,0.5
144,3,5,27,78,38,208,1.1
29,1,6,11,18,5,57,0.4
50,1,9,19,50,29,79,0.8
140,3,5,17,229,66,90,0.4
78,2,23,31,81,57,72,0.9
38,1,13,24,38,26,15,1
74,2,5,14,44,22,128,0.5
103,3,24,36,107,77,57,0.8
51,2,8,11,51,16,58,0.6
66,2,30,35,81,46,48,0.8
48,1,13,15,48,30,74,0.5
39,1,6,13,20,8,77,0.6
35,1,6,13,29,11,69,0.4
113,3,70,62,158,85,77,1.5
37,1,14,24,37,24,33,0.8
35,1,8,18,35,19,65,0.5
110,3,5,20,61,36,171,0.7
55,2,7,15,48,25,106,0.6
109,3,7,28,42,22,169,0.8
27,1,6,16,17,8,53,0.6
77,2,58,50,104,49,72,1.1
114,3,24,38,177,53,111,0.8
28,1,4,13,16,7,55,0.6
75,2,25,17,70,55,75,0.6
71,2,11,27,45,18,125,0.6
39,1,5,13,26,10,78,0.4
61,2,5,15,54,32,113,0.7
35,1,10,22,33,24,40,0.7
104,3,9,28,40,21,164,0.7
119,3,17,60,110,90,89,1.4
35,1,12,27,32,24,32,0.8
122,3,12,60,137,92,64,1.1
27,1,5,14,18,6,54,0.5
67,2,6,31,73,39,120,0.6
72,2,20,28,77,52,81,0.9
59,2,9,22,67,34,87,0.8
45,1,15,23,43,31,46,0.9
44,1,6,22,44,22,39,0.6
53,2,18,22,51,37,61,0.7
69,2,8,20,32,15,122,0.6
63,2,8,15,66,40,115,0.7
123,3,12,28,65,23,185,0.7
26,1,8,18,26,14,47,0.6
29,1,8,17,29,18,34,0.8
49,1,13,17,46,34,60,0.9
33,1,6,22,33,17,37,0.7
34,1,12,17,34,23,68,0.6
27,1,5,16,27,13,53,0.5
150,3,11,32,55,31,215,0.8
61,2,6,26,54,26,113,0.6
44,1,14,19,44,28,87,0.8
26,1,13,15,22,15,52,0.7
37,1,12,19,37,24,63,0.8
33,1,6,22,33,19,66,0.6
44,1,6,17,28,12,87,0.5
46,1,16,23,46,29,29,0.9
113,3,9,29,60,28,174,0.9
78,2,8,34,56,28,133,0.6
63,2,5,22,56,27,115,0.6
72,2,5,22,45,21,126,0.6
55,2,10,29,47,20,105,0.6
82,2,6,27,61,30,138,0.7
24,1,10,14,20,9,48,0.6
35,1,16,17,35,24,54,0.7
71,2,11,27,45,18,125,0.6
49,1,18,24,49,31,42,0.9
38,1,17,15,32,18,75,0.5
55,2,15,18,60,35,68,0.6
81,2,5,22,50,21,137,0.5
51,2,5,16,51,26,84,0.6
33,1,6,11,32,16,66,0.4
38,1,6,12,29,12,76,0.4
28,1,8,17,28,16,48,0.7
45,1,6,15,21,8,89,0.5
65,2,10,19,60,32,117,0.7
54,2,7,18,57,32,72,0.7
32,1,10,9,31,22,61,0.5
82,2,21,34,92,60,61,1
25,1,5,17,21,11,50,0.6
59,2,9,22,67,34,87,0.8
77,2,17,29,79,56,58,0.9
49,1,6,20,36,17,97,0.6
98,2,11,26,128,71,157,0.8
98,2,29,41,108,73,33,1
33,1,5,22,26,13,66,0.5
23,1,5,15,22,7,45,0.5
36,1,6,13,30,12,72,0.5
127,3,7,30,48,25,189,0.7
86,2,8,21,48,26,143,0.6
46,1,16,23,46,29,29,0.9
60,2,7,18,69,33,109,0.6
96,2,10,29,114,68,155,0.9
27,1,7,21,21,11,37,0.6
40,1,13,11,31,20,79,0.5
112,3,56,61,141,84,96,1.4
54,2,7,18,57,32,72,0.7
33,1,6,22,33,17,37,0.7
45,1,6,15,21,8,89,0.5
31,1,6,11,22,8,62,0.4
63,2,39,42,75,39,61,1
28,1,12,17,28,16,37,0.8
41,1,8,25,41,22,53,0.6
53,2,13,26,55,36,32,0.8
44,1,12,20,44,27,61,0.6
